cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0022000005635208CB1P";"2024/01/05";"13:00";"0,210";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"14:00";"1,432";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"15:00";"1,610";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"16:00";"0,556";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"17:00";"0,667";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"18:00";"2,187";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"19:00";"0,770";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"20:00";"0,677";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"21:00";"0,195";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"22:00";"0,175";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"23:00";"0,196";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"24:00";"0,396";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"01:00";"0,371";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"02:00";"0,191";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"03:00";"0,094";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"04:00";"0,062";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"05:00";"0,098";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"06:00";"0,075";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"07:00";"0,279";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"08:00";"0,168";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"09:00";"0,114";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"10:00";"0,128";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"11:00";"0,846";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"12:00";"0,914";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"13:00";"0,652";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"14:00";"0,437";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"15:00";"2,133";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"16:00";"1,468";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"17:00";"0,965";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"18:00";"0,447";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"19:00";"0,178";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"20:00";"0,327";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"21:00";"0,182";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"22:00";"0,194";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"23:00";"0,156";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"24:00";"0,440";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"01:00";"0,167";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"02:00";"0,410";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"03:00";"0,922";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"04:00";"0,594";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"05:00";"0,096";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"06:00";"0,083";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"07:00";"0,105";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"08:00";"0,187";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"09:00";"0,072";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"10:00";"0,137";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"11:00";"0,420";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"12:00";"0,448";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"13:00";"1,482";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"14:00";"0,500";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"15:00";"2,089";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"16:00";"2,294";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"17:00";"0,792";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"18:00";"0,170";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"19:00";"0,156";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"20:00";"0,366";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"21:00";"0,214";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"22:00";"1,733";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"23:00";"1,754";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"24:00";"0,324";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"01:00";"0,094";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"02:00";"0,087";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"03:00";"0,075";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"04:00";"0,093";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"05:00";"0,294";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"06:00";"0,097";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"07:00";"0,250";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"08:00";"0,768";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"09:00";"0,230";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"10:00";"0,757";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"11:00";"0,622";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"12:00";"0,379";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"13:00";"0,284";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"14:00";"0,221";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"15:00";"1,189";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"16:00";"0,815";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"17:00";"0,409";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"18:00";"0,278";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"19:00";"0,239";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"20:00";"0,457";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"21:00";"1,813";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"22:00";"0,523";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"23:00";"0,701";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"24:00";"0,198";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"01:00";"0,113";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"02:00";"0,067";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"03:00";"0,086";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"04:00";"0,061";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"05:00";"0,047";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"06:00";"0,335";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"07:00";"0,237";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"08:00";"0,575";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"09:00";"0,540";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"10:00";"0,363";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"11:00";"0,447";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"12:00";"0,225";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"13:00";"0,230";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"14:00";"0,623";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"15:00";"0,398";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"16:00";"0,320";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"17:00";"0,331";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"18:00";"0,493";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"19:00";"0,184";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"20:00";"1,687";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"21:00";"2,208";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"22:00";"1,917";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"23:00";"0,195";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"24:00";"0,630";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"01:00";"0,697";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"02:00";"0,068";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"03:00";"0,066";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"04:00";"0,073";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"05:00";"0,090";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"06:00";"0,208";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"07:00";"0,588";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"08:00";"0,828";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"09:00";"0,433";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"10:00";"0,064";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"11:00";"0,317";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"12:00";"0,166";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"13:00";"0,306";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"14:00";"0,422";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"15:00";"0,765";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"16:00";"0,435";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"17:00";"0,176";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"18:00";"0,119";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"19:00";"0,644";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"20:00";"1,132";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"21:00";"0,626";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"22:00";"0,923";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"23:00";"0,170";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/10";"24:00";"0,083";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"01:00";"0,072";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"02:00";"0,091";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"03:00";"0,056";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"04:00";"0,054";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"05:00";"0,078";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"06:00";"0,385";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"07:00";"0,093";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"08:00";"0,688";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"09:00";"0,218";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"10:00";"0,069";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"11:00";"0,233";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"12:00";"0,247";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"13:00";"0,197";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"14:00";"0,211";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"15:00";"1,568";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"16:00";"0,085";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"17:00";"0,079";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"18:00";"0,123";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"19:00";"0,651";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"20:00";"2,413";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"21:00";"0,990";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"22:00";"0,209";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"23:00";"0,357";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/11";"24:00";"0,257";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"01:00";"0,092";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"02:00";"0,087";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"03:00";"0,261";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"04:00";"0,100";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"05:00";"0,114";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"06:00";"0,201";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"07:00";"0,189";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"08:00";"0,609";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"09:00";"0,516";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"10:00";"0,248";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"11:00";"0,396";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"12:00";"0,238";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"13:00";"0,439";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"14:00";"0,609";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"15:00";"1,920";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"16:00";"0,883";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"17:00";"0,391";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"18:00";"0,471";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"19:00";"0,853";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"20:00";"0,199";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"21:00";"0,204";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"22:00";"0,099";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"23:00";"0,081";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/12";"24:00";"0,141";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"01:00";"0,171";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"02:00";"0,468";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"03:00";"0,333";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"04:00";"0,072";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"05:00";"0,091";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"06:00";"0,057";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"07:00";"0,172";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"08:00";"0,223";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"09:00";"0,074";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"10:00";"0,091";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"11:00";"0,119";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"12:00";"0,369";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"13:00";"0,327";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"14:00";"0,896";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"15:00";"3,269";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"16:00";"1,329";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"17:00";"1,960";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"18:00";"0,352";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"19:00";"0,339";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"20:00";"1,034";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"21:00";"1,024";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"22:00";"0,244";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"23:00";"0,180";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/13";"24:00";"0,185";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"01:00";"0,429";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"02:00";"0,297";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"03:00";"0,086";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"04:00";"0,051";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"05:00";"0,071";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"06:00";"0,065";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"07:00";"0,087";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"08:00";"0,298";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"09:00";"0,048";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"10:00";"0,310";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"11:00";"1,305";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"12:00";"1,108";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"13:00";"0,991";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"14:00";"2,811";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"15:00";"0,565";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"16:00";"0,163";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"17:00";"0,193";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"18:00";"1,544";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"19:00";"0,153";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"20:00";"0,203";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"21:00";"2,702";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"22:00";"1,178";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"23:00";"0,193";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/14";"24:00";"0,122";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/15";"01:00";"0,219";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/15";"02:00";"0,072";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/15";"03:00";"0,095";Real;"0,000"
